编号,标签,时间,内容
36379442,"小米11,MIUI系统,屏幕显示",2022-03-28 17:46:58,"MIUI13-22.3月起 小米11开发版 日常使用过程中无故闪屏
操作步骤
不知道我这小米11还能用多久，屏幕一闪一闪的，过会就没了。哎4700呀！造孽"
35419840,"小米11,网络信号,MIUI系统",2022-03-28 17:45:08,"MIUI13-小米11稳定版 13.0.5.0 短彩信相关异常
操作步骤
请问大家有遇到过彩信发不出去也接收不了的情况吗，始终接收彩信的开关已经打开了，不知道怎么设置"
36271878,"小米11,声音和振动,MIUI系统",2022-03-28 17:43:15,"MIUI13-小米11稳定版 13.0.6.0 扬声器无声音
操作步骤
没有声音了"
37148574,"小米11,声音和振动,MIUI系统",2022-03-28 17:33:31,"MIUI13-小米11公测版 13.0.6.1.18 微信等应用通知音不响失效
操作步骤
小米11重启后微信没有通知铃声"
36659896,"自由小窗,小米11,开发版内测,MIUI系统",2022-03-28 17:10:35,"MIUI13-截止到3月27日小米11开发版-游戏中打开小窗时主应用会出现卡顿/掉帧情况
操作步骤
每次玩游戏打开小窗口，游戏就会卡成ppt，关闭小窗口后，也要缓几秒恢复帧率
预期结果
没有图片，你自己体会
实际结果
没有图片，我不想体会那种ppt的感觉了"
36377997,"小米11,声音和振动,MIUI系统",2022-03-28 16:22:48,"MIUI13-小米11稳定版 13.0.6.0 扬声器音量小
操作步骤
为什么我换了主板后手机声音变小了好多？？？？"
36660111,"小米11,MIUI系统",2022-03-28 16:20:45,"MIUI13-小米11公测版 13.0.6.1.18 日常使用卡顿掉帧锁帧
操作步骤
温度升高之后，手机画面掉帧，120帧明显不流畅
预期结果
做好温控，温度和稳定，质量同时保持
实际结果
手机温度提高，画面自动锁帧，明显感觉到卡顿
补充说明
小米11，MIUI开发公测版最新版"
37146969,"小米11,MIUI系统",2022-03-28 15:39:53,"MIUI13 22.3月起 小米11 开发版 使用过程中无故重启
操作步骤
昨天晚上刚打开支付宝，突然卡住重启了，我以为烧WiFi了，结果开机了好好的，绰"
36374802,"自由小窗,小米11,开发版内测,MIUI系统",2022-03-28 12:55:14,"MIUI13-截止到3月27日-小米11开发版-视频应用悬挂小窗后视频中声音会减小/降低
操作步骤
把视频软件缩成小窗模式时，视频音量会减小。
预期结果
声音保持不变，小窗模式
实际结果
每次都是声音变小。用了几个软件都一样"
36262423,"小米11,游戏加速,MIUI系统",2022-03-27 22:44:10,"MIUI13-小米11稳定版13.0.6-游戏退出返回游戏游戏画面缩小
操作步骤
玩游戏退出游戏界面然后再进游戏界面突然屏幕就变小了  然后试了好几次退出再返回游戏界面一直显示小屏幕
预期结果
可以把这个bug修复一下  要不一直这样不是办法
实际结果
玩游戏退出游戏界面然后再进游戏界面突然屏幕就变小了  然后试了好几次退出再返回游戏界面一直显示小屏幕"
36368897,"小米11,开发版公测,屏幕触控,MIUI系统,有线充电",2022-03-27 22:41:51,"MIUI13-小米11公测版13.0.6.1.18-充电屏幕触控失灵/跳屏 
操作步骤
我的手机充电器是原装的，为啥充电手机屏幕按上乱跳呢，有知道是啥原因吗？"
36650061,"MIUI系统,小米11,声音和振动,三方应用圈",2022-03-27 21:16:18,"MIUI13-小米11公测版13.0.6.1.18微信视频/语音播放无声音
操作步骤
最新开发公测版系统微信播放视频、语音（扬声器）无声，语音通话正常。
测试机型:小米11
系统版本:MIUI13V13.0.1.18DEV开发公测版
微信版本号:V8.0.20
出现概率:100％
预期结果
尽快查明原因后推送补丁，希望官方重视起来。这是一个严重的BUG。
实际结果
会影响用户正常使用。希望官方重视起来！希望官方重视起来！希望官方重视起来！"
36363947,"MIUI系统,小米11,有线充电",2022-03-27 16:13:56,"MIUI13-小米11公测版13.0.6.1.18 55有线充电异常/快充失效/充电速度慢
操作步骤
一直提示充电速度慢慢慢
预期结果
快充快回来快回来快回来
实际结果
快充没有快充没有快充没有"
35397485,"小米11,三方应用圈",2022-03-26 21:32:45,"MIUI13-小米11公测版13.0.6.1.16-王者荣耀掉帧
操作步骤
开的超高还锁帧，还玩啥，这么废，求求不要这么搞人心态好不好，打团的时候还卡，这系统太废了吧
预期结果
求修复，求修复，求修复
实际结果
快点修复吧，快点修复吧，快点修复吧
"
37116744,"控制中心,小米10/10Pro,小米12,Redmi K40游戏增强版,开发版公测,小米妙享中心公测,K30S至尊纪念版,Redmi Note 10/10 Pro,MIUI系统,小米12 Pro,小米MIX 4,小米10至尊纪念版,小米11,开发版内测,小米10S,设置,Redmi K40/Pro",2022-03-26 17:37:40,"MIUI13 公测版 控制中心 数据没有流量显示
操作步骤
为啥新版通知栏，看不到流量管理了，还是老板的看着舒服"
36630886,"MIUI系统,小米11,三方应用圈",2022-03-26 15:05:05,"MIUI13-小米11稳定版13.0.5.0游戏场景切换应用返回游戏界面屏幕显示异常
操作步骤
游戏时从王者界面切换到网易云界面再切回来就会这样
预期结果
能不能正常打游戏的给我速速修改别再卡bug了
实际结果
打王者就这样都不满屏"
37111784,"小米11,通知栏, 锁屏,MIUI系统,控制中心",2022-03-26 11:13:19,"MIUI13-22.3月稳定版-锁屏状态下无法下拉控制中心/通知中心 
操作步骤
锁屏后拉不到控制中心 已经打开了
预期结果
锁屏时操作控制 中心
实际结果
没显示出来 要我解锁"
36627516,"MIUI系统,桌面,小米11",2022-03-26 11:09:09,"MIUI13-稳定版-图标-桌面APP图标大小显示异常
操作步骤
王者图标老是变这么大？恢复还得换主题再换默认才恢复这是为什么
预期结果
图片发送成功图片发送成功
实际结果
图片发送成功图片发送成功"
37111529,"小米11,手机管家,MIUI系统",2022-03-26 11:08:10,"MIUI13-小米11稳定版13.0.5-耗电曲线出现充电状态 
操作步骤
这段时间我的手机处于关机状态，电池电量突然，显示在充电？
预期结果
电量保持不变 不应该显示充电
实际结果
。。。。。。。。。。。"
36623701,"开发版内测,MIUI系统,小米11,控制中心,Redmi Note 10/10 Pro,Redmi K40/Pro,系统动画",2022-03-26 01:42:43,"MIUI13-开发版-下拉控制中心卡顿掉帧
操作步骤
右侧任务栏掉帧，左侧通知栏正常
预期结果
右侧效果和左侧保持一致，120流畅运行
实际结果
右侧掉帧严重，影响正常体验"
37103149,"小米11,自由小窗,MIUI系统",2022-03-25 21:56:26,"MIUI13-小米11稳定版13.0.5-游戏切换小窗上半部显示阴影 
操作步骤
游戏内打开小窗模式上面会出现不同程度的阴影
预期结果
只要游戏内切成小窗就会存在
实际结果
只要游戏切小窗就会有
补充说明
以前没有过的，最近更新了系统就出现了"
36620241,"小米11,屏幕触控,MIUI系统",2022-03-25 21:51:02,"MIUI13-小米11公测版13.0.6.1.16-屏幕触控失灵跳屏 
操作步骤
小米11最新开发版使用过程中用全面屏手势，点击底部某些选项，如微信的，我，通讯录，就是底部一排，点了一下就回到桌面了，正常全面屏手势回桌面是底部往上滑回桌面。现在经常点一下就回桌面。
预期结果
响应微信的操作，进入微信通讯录。
实际结果
返回桌面，需要重新操作才能进入微信的通讯录"
36234158,"小米11,MIUI系统",2022-03-25 21:03:24,"MIUI13-小米11稳定版13.0.5-杀后台
操作步骤
现在杀后台是真的猛"
35376520,"小米11,MIUI系统",2022-03-25 10:33:30,"MIUI 13-小米11-稳定版13.0.5.0-自动关机
操作步骤
前两天手机在充电，我睡午觉，接到快递电话，才接通手机就卡住了，我还没来得及说话。然后就长按关机，开机的时候，感觉比平时开机按的时间长几秒钟，屏幕才亮。   想着开机了能用就行也没在意，今天用着用着又卡死了，然后自动关机了，不停尝试开机也开不了，过了5分钟左右又能开机了。    现在心里好慌啊！   之前知道烧WiFi什么的，想着我不玩游戏，手机发热不厉害，不会这么倒霉吧。延保什么的没弄，也不知道怎么搞。  现在该怎么做呢"
36610581,"小米11,MIUI系统,电池",2022-03-25 10:09:31,"MIUI 13-截止3月27日-小米11-开发版-电量显示异常/跳电
操作步骤

满电重启掉到百分之一后又慢慢恢复电量，使用手机时间不掉电，不知电池使用情况，充电很慢
预期结果
这个很影响使用体验，希望修复
实际结果
满电重启掉到百分之一后又慢慢恢复电量，使用手机时间不掉"
36225578,"MIUI系统,小米11",2022-03-25 09:01:21,"MIUI13-小米11稳定版13.0.5.0应用场景调用输入法，键盘无法弹出
操作步骤
点击输入框
等待输入法弹出
多次点击无效
预期结果
输入法正常弹出可以进行文字输入
实际结果
输入法无弹出重启输入法无效，重启手机才修复"
35373045,"手机蓝牙,小米真无线降噪耳机3/Pro,小米11",2022-03-25 02:19:10,"MIUI13 22.3月起 小米11 开发版 使用真无线降噪耳机3Pro通话有杂音
操作步骤
22.3.22版本连接蓝牙小米耳机3pro接电话全是噪音声音""呲呲呲""听不清楚。希望早点修复
预期结果
22.3.22版本连接蓝牙小米耳机3pro接电话全是噪音声音""呲呲呲""听不清楚。希望早点修复
实际结果
22.3.22版本连接蓝牙小米耳机3pro接电话全是噪音声音""呲呲呲""听不清楚。希望早点修复"
37088549,"小米11,温度控制,MIUI系统,开发版内测",2022-03-24 23:44:24,"MIUI13-截止3.27 小米11开发版 日常使用异常发热
操作步骤
垃圾发热垃圾"
36222623,"小米11,电话,MIUI系统,声音和振动",2022-03-24 23:38:16,"MIUI13-22.3月起 小米11开发版 接打电话听不到对方声音
操作步骤
早上别人打电话进来无声音接通无声音，闹钟无声音无法振动，只能重启恢复，一个半月亮
预期结果
早上起床没闹钟，电话打进无铃声
实际结果
严重影响我上班，影响我日常"
35372815,"小米11,温度控制,MIUI系统,三方应用圈",2022-03-24 23:35:04,"MIUI13-截止3.27 小米11开发版 微信QQ视频通话异常发热
操作步骤
小米11为什么 用QQ视频通话的时候贼烫？"
36222523,"小米11,MIUI系统,有线充电",2022-03-24 23:31:19,"MIUI13-小米11公测版 13.0.6.1.16 65W有线充电慢
操作步骤
兄弟们，我这充电速度正常吗，充电器是小米GaN的65w"
36607056,"小米11,桌面,MIUI系统",2022-03-24 23:16:18,"MIUI13-22.3月起 小米11开发版 system无响应
操作步骤
正常使用手机突然卡死无法操作，随后报错：进程“system”无响应，强制重启后正常。一天出现4次以上，严重影响使用
预期结果
正常使用，桌面不卡死，太TM糟心了
实际结果
进程“system”无响应，强制重启后正常。"
36604506,"开发版公测,桌面,小米11,MIUI系统",2022-03-24 20:44:40,"MIUI13 小米11 公测版13.0.6.1.16  屏幕底端易误触回桌面
操作步骤
小米11最新开发版使用过程中用全面屏手势，点击底部某些选项，如微信的，我，通讯录，就是底部一排，点了一下就回到桌面了，正常全面屏手势回桌面是底部往上滑回桌面。现在经常点一下就回桌面
预期结果
响应软件的操作进入菜单栏
实际结果
返回了桌面需要重新操作"
36219468,"自由小窗,小米11,MIUI系统,开发版内测",2022-03-24 20:02:03,"MIUI13 截止3.27  小米11 开发版 横屏游戏时开启小窗后小窗底部过于靠下
操作步骤
进到游戏里，划开游戏空间，开启小窗。会有bug。
预期结果
开启小窗如图中所示会向下偏移。
实际结果
开启小窗过后如图中所示会向下偏移。
补充说明
开发版22.3.22"
36315942,"MIUI系统,小米11,声音和振动",2022-03-24 13:15:58,"MIUI13-小米11公测版13.06.1.16自定义铃声无效
操作步骤
小米11更新13.0.6.1.16后，铃声更改后，还是系统铃铃声。
预期结果
小米11更新13.0.6.1.16后，铃声更改后，还是系统铃铃声。
实际结果
更改不铃声。还是系统模式。"
36598081,"MIUI系统,小米11,传送门",2022-03-24 13:07:06,"MIUI13-小米11稳定版13.0.6.0传送门识别显示错误
操作步骤
传送门识别错误
传送门识别错误
预期结果
传送门识别错误
传送门识别错误
实际结果
传送门识别错误，最后一个字母识别错误"
36213783,"相机,小米11,MIUI系统",2022-03-24 11:56:25,"MIUI13 小米11 13.0.6.1.16公测版相机黑屏
操作步骤
打开相机拍照  画面卡着不动
预期结果
达不到拍照的效果，。。。。。
实际结果
后置相机拍照画面卡着不动"
36596341,"MIUI系统,小米12X,三方应用圈,小米11,相机",2022-03-24 10:34:59,"MIUI13 小米12x 稳定版13.0.13 微信/支付宝扫码黑屏
操作步骤
打开微信扫码的时候出现黑屏。支付宝也是。
预期结果
不卡啊，不黑屏。微信扫码和支付宝扫码用不了。
实际结果
微信扫码和支付宝扫码的时候出现黑屏，重启之后就好了。
补充说明
微信扫码和支付宝扫码的时候出现黑屏，重启之后就好了。"
36209173,"小米11,MIUI系统,三方应用圈",2022-03-24 00:30:11,"MIUI13-小米11稳定版13.0.6-王者荣耀闪退 
操作步骤
王者荣耀
巅峰赛队列中闪退，一天一次，不知道是小米的问题还是王者的问题，还扣我信誉分！！
预期结果
正常队列，可以直接匹配对局
实际结果
巅峰赛队列中直接闪退，被扣了信誉分"
36209083,"小米11,桌面,屏幕触控,开发版内测,MIUI系统",2022-03-24 00:10:32,"MIUI13-22.3月小米11开发版-经典导航返回键点一次会反馈两次 
操作步骤
反馈了这么多次也没回应 加了视频
预期结果
点返回键时候明明按一次但是经常自动点两次 有时候菜单和hom键也是
实际结果
点返回键时候明明按一次但是经常自动点两次 有时候菜单和hom键也是"
37070314,"系统动画,桌面,开发版内测,小米11,MIUI系统",2022-03-23 20:51:38,"MIUI13-22.3月起小米11开发版-亮屏指纹解锁后进入桌面动画卡顿/掉帧
操作步骤
锁屏，然后亮屏，然后指纹解锁，进入桌面动画好卡掉帧。
预期结果
亮屏指纹解锁进入桌面流畅不掉帧
实际结果
亮屏指纹解锁进入桌面好卡不流畅掉帧"
36588801,"系统动画,开发版内测,小米11,MIUI系统",2022-03-23 20:46:29,"MIUI13_22.3月起小米11开发版-打开应用时会掉帧/卡顿
操作步骤
打开QQ或者微信启动会掉帧
预期结果
打开QQ或者微信启动不会掉帧
实际结果
打开QQ或者微信启动会掉帧"
35355905,"小米11,耗电,MIUI系统",2022-03-23 20:02:03,"MIUI13 小米11 稳定版 13.0.6.0 低电量下耗电快/异常
操作步骤
现在米11是系统bug还是硬件bug，电量一到20就飞速下降"
36204483,"网络信号,小米11,开发版内测",2022-03-23 18:50:57,"MIUI13-截止3.27 小米11 开发版 无服务信号差
操作步骤
更新内测版本就这样了
预期结果
。。。。。。。。。。。。。。。
实际结果
。。。。。。。。。。。。。"
36300162,"开发版内测,小米11,三方应用圈",2022-03-23 13:24:15,"MIUI13 22.3起 小米11 微博出现卡死闪退
操作步骤
1.刷微博
2.点击滑动无响应
3.卡死或者闪退
预期结果
可以正常刷微博，不会影响正常使用
实际结果
经常出现卡死无响应，严重影响使用体验"
37063554,"MIUI系统,小米11,相机",2022-03-23 13:23:34,"MIUI13 小米11稳定版13.0.6.0 相机闪退
操作步骤
MIUI13.06稳定版，为什么相机拍出来照片就几百k，模糊的。相机一拍照就闪退。使用三方相机拍没有任何问题。在这里问问持有小米11用户，是偶然还是版本bug。"
36298917,"天气,小米11",2022-03-23 11:30:36,MIUI13 22.3月起 天气无响应/卡死
37061864,"小米11,设置,MIUI系统",2022-03-23 11:28:24,"MIUI13 小米11 稳定版 13.0.5.0 闹铃响铃 无故触发关机界面
操作步骤
闹铃响的时候出现关机界面，请修复
预期结果
闹铃响的时候出现关机界面，请修复
实际结果
闹铃响的时候出现关机界面，请修复，容易误操作关机"
36294472,"小米11,三方应用圈",2022-03-23 00:27:38,"MIUI13-小米11稳定版13.0.5-王者荣耀无法全屏显示缩小
操作步骤
点击右侧邀请好友上线，返回王者荣耀就会变成如图界面
预期结果
返回王者后界面正常无变化
实际结果
返回王者荣耀后界面缩写，有大面积黑边"
36292952,"小米11,MIUI系统,屏幕显示",2022-03-22 23:03:29,"MIUI13-小米11 稳定版 13.0.5 无故闪屏
操作步骤
屏幕闪屏，颜色色彩自己变，一会儿暖色调一会儿冷色调那种，而且差不多一两秒或者四秒就闪一次，点一下它又好了，有人的情况跟我一样吗？"
36576571,"开发版内测,小米11,MIUI系统",2022-03-22 22:51:51,"MIUI13 22年3月起 小米11 开发版 日常使用无故重启
操作步骤
小米11经常卡死重启，一天五六次。"
36290312,"控制中心,开发版公测,MIUI系统,小米11",2022-03-22 20:35:00,"MIUI13-22.3月起公测版-下拉控制中心偶尔无过渡动画
操作步骤
打开状态时有时有动画，有时就没有动画。
预期结果
每次都能显示动画并提高流畅程度。
实际结果
只显示有水卡在那里，就没有过渡动画。"
36188408,"相机,小米11,MIUI系统",2022-03-22 13:36:12,"MIUI13-小米11公测版 13.0.6.1.15 相机录像卡顿掉帧
操作步骤
打开相机直接或稍等片刻开始录像
预期结果
没有问题然后正常录像
实际结果
录像会出现卡顿，掉帧等现象"
36566611,"MIUI系统,小米11,屏幕显示",2022-03-22 11:01:21,"MIUI13-小米11稳定版13.0.6.0笔记场景屏幕亮度忽暗忽明
操作步骤
笔记bug
笔记bug笔记bug
预期结果
笔记bug笔记bug笔记bug
实际结果
笔记bug笔记bug笔记bug笔记bug"
36567056,"小米11,小米10/10Pro,开发版内测,手机管家,MIUI系统",2022-03-22 10:57:59,"MIUI13 22.3月起 短信 话费流量自动校正频繁
操作步骤
手机总是频繁的查询话费流量
预期结果

手机恢复正常，不要不停的查询话费流量
实际结果
手机总是频繁的查询话费流量"
36566251,"Redmi K40/Pro,三方应用圈,屏幕显示,小米11",2022-03-22 10:30:30,"22.3月起 抖音花屏
操作步骤
不知道你们会不会有这种情况，我才买的手机，看视频有时候他会花屏，是我这个手机的问题还是这个系列都是这样的？求回复"
36279307,"小米11,屏幕触控,MIUI系统",2022-03-22 00:33:50,"MIUI13-小米11稳定版13.0.6-触控失灵/跳屏
操作步骤
打字时按空白键，一定机率触发上划手势
预期结果
miui13之前，这情况一直没发生过
实际结果
就很烦，打字的时候突然就跳出去了"
36561561,"小米11,MIUI系统,有线充电",2022-03-21 22:13:37,"MIUI13 截止3.27 小米11 开发版 55w有线充电 无法激活快充协议
操作步骤
小米11今天超级充电突然没了，插头拔插，重启用了，就出现一次快充，就一直是普通充电"
36561366,"小米11,MIUI系统",2022-03-21 22:10:42,"MIUI13-小米11 稳定版 13.0.6.0 应用无响应/卡死
操作步骤
我特么进微信能给我卡成未响应 真666 "
36180148,"开发版内测,MIUI系统,文件管理,小米视频,应用包管理组件,三方应用圈,相册,设置,开发版公测,电话,小米11,小米云盘1.0,屏幕显示,隐私保护",2022-03-21 21:05:44,"MIUI13-22.3月起-弹窗中打开方式选择仅一次/总是全部没有反应
操作步骤
浏览器里面打开文件，选择仅一次之后没有反应"
35330805,"小米11,网络信号,MIUI系统",2022-03-21 20:09:00,"MIUI13 小米11 稳定版 13.0.5.0 游戏场景延迟高/断流
操作步骤
什么时候修复一下断流问题，越来越频繁了！！！！！一把游戏可以有好几次460，好不好还得看手机心情，心态爆炸，用了小米11离米黑又近了一步，现在我都不推荐别人用小米了😡😡😡，各种问题，提交了n个bug，去年到现在都没修复，你特么让我提交个毛啊"
36177953,"小米11,声音和振动,MIUI系统,三方应用圈",2022-03-21 18:14:40,"MIUI13-小米11稳定版13.0.5-抖音短视频没有声音
操作步骤
刷抖音没声音，其他APP有声音，快点修复吧
预期结果
快点修复吧，麻烦死，赶紧的吧
实际结果
快点，修复，烦死了，抓紧修复一下
补充说明
快点修复吧"
37035474,"小米妙享中心公测,小米11,开发版公测,桌面",2022-03-21 16:29:49,"MIUI13 小米11公测版13.0.5.1.13 桌面图标显示异常
操作步骤
更新妙想中心以后回到桌面图标就放大了
预期结果
图标不变，并可以使用妙想中心
实际结果
应用图标修改了变大了"
36555916,"小米音乐 ,开发版内测,小米12X,小米11",2022-03-21 14:44:44,"小米音乐-音乐播放过程中切换应用/锁屏时声音卡顿
操作步骤
后台放音乐，从一个软件弹出来会有一个卡顿。每次都有
预期结果
这个卡顿非常影响体验，希望优化的没有卡顿感
实际结果
后台放音乐，从一个软件弹出来会有一个卡顿。每次都有"
35326210,"开发版公测,Redmi K40游戏增强版,MIUI系统,三方应用圈,小米11,Redmi Note 10/10 Pro,K30至尊纪念版,桌面,Redmi K30/Pro,Redmi K40/Pro",2022-03-21 12:48:38,"MIUI13-22.3月起-王者荣耀闪退/无响应
操作步骤
打开好好的，刚开局就闪退
预期结果
手机体验非常差，总有问题能好吗
实际结果
不定时闪退，怎么截图"
37032239,"小米11,耗电,MIUI系统,续航,开发版内测",2022-03-21 12:25:30,"MIUI13 截止3.27 小米11 开发版 日常使用耗电严重
操作步骤
下午5点左右，本来还有20多的电，可几分钟就掉没自动关机了，之前也出现过，当时没太在意，以为版本系统问题，优化掉就好了
预期结果
确定原因，系统Bug还是硬件电池废了或者其他原因
实际结果
未进行其他操作，看掉电迅速我马上开启飞行模式，还是很快就自动关机了"
36172358,"开发版内测,MIUI系统,三方应用圈,小米11,天气",2022-03-21 08:43:07,"MIUI13 22.3月起 小米11 开发版 应用无故无响应/卡死
操作步骤
最近几天总是出现这样的情况，卡顿，死机。无反应。"
36170078,"小米11,MIUI系统",2022-03-20 23:38:43,"MIUI13 小米11 稳定版 13.0.5.0 使用中无故关机
操作步骤
牛逼的很，打火影直接自己关机了"
36169828,"小米11,有线充电",2022-03-20 23:31:36,MIUI13-小米11公测版 13.0.4.1.1 55W有线充电 速率慢
36548971,"小米11,MIUI系统",2022-03-20 22:54:34,"MIUI13-22.3月小米11开发版-媒体储存设备内存占用异常 
操作步骤
存储空间莫名其妙就满了
预期结果
存储空间莫名其妙就满了
实际结果
存储空间莫名其妙就满了"
37025439,"相机,小米11,MIUI系统",2022-03-20 22:20:34,"MIUI13 22.3月起 小米11 开发版 相机启动卡顿/速度慢
操作步骤
最新开发版，打开相机明显卡顿
预期结果
最新开发版，打开相机不卡顿
实际结果
最新开发版，打开相机明显卡顿"
36263112,"电话,小米11,MIUI系统",2022-03-20 21:06:58,"MIUI13-小米11稳定版13.0.5.0按电源键挂断电话触发锁屏
操作步骤
手机使用过程即解锁状态下接听电话，放到耳边接听的时候手机会息屏，当要挂断电话时，手机从耳边拿开，屏幕亮起，仍处于解锁状态，按一下电源键挂电话
预期结果
电话挂断，手机仍然处于解锁状态
实际结果
按电源键触发挂断电话的指令的同时会触发锁屏指令，又需要重新解锁
补充说明
只是想按电源键挂电话，结果每次按之后手机也会被锁住，需要重新解锁，那按电源键挂电话这个功能有什么用？"
36262427,"状态栏,MIUI系统,小米11,开发版公测",2022-03-20 20:41:05,"MIUI13-22.3月起公测版-电池图标显示异常
操作步骤
充电一段时间拔下来后发现
预期结果
通知和状态栏正常显示
实际结果
下拉状态栏或者锁屏界面，电量条异常显示"
35318520,"主题壁纸,小米11,开发版公测,MIUI系统",2022-03-20 18:56:44,"MIUI13-小米11公测版13.0.6.1.16-动态壁纸无法下载
操作步骤
1.打开主题，选择动态壁纸。
2.选择来电秀专区的动态壁纸，点击下载壁纸。
3.下载管理器一直显示正在连接，无法正常下载。
4.下载非来电秀专区的动态壁纸就可以正常下载
预期结果
正常下载并应用来电秀动态壁纸
实际结果
来电秀动态壁纸一直显示正在连接，下载失败"
36255397,"小米11 Pro,MIUI系统,三方应用圈,Redmi Note 10/10 Pro,开发版内测,通知栏,小米11",2022-03-20 11:30:33,"MIUI 13-22.3月-微信消息接收延迟
操作步骤
打开微信才接受到信息
预期结果
微信延迟微信接受信息延迟
实际结果
微信接受信息延迟要返回微信才收到"
36161548,"小米11,声音和振动,MIUI系统",2022-03-20 11:14:26,MIUI 13-小米11-稳定版13.0.5-扬声器无声音
36160693,"控制中心,小米11,开发版内测,MIUI系统",2022-03-20 09:54:01,"MIUI13-22.3月起开发版_控制中心中图标显示反色

操作步骤
下拉快捷通知栏，图标看不清
预期结果
更新前通知栏图标能看到
实际结果
通知栏快捷图标看不清"
36160733,"有线充电,小米11,MIUI系统",2022-03-20 09:25:57,"MIUI13 小米11 稳定版 13.0.5 55W有线充电无法充电
操作步骤
充电 拔下充电 如此往复循环
预期结果
恢复正常，正常充电就可以
实际结果
正常充电而已，无损坏现象"
36538711,"自由小窗,小米11,MIUI系统,稳定版内测,三方应用圈",2022-03-20 09:06:05,"MIUI13_小米11稳定版13.0.5.0-开启QQ应用小窗后操作时底部会出现黑杆 
操作步骤
不进行分屏之后，就不会出现黑色条框
预期结果
底部没有黑色条框底部没有黑色条框底部没有黑色条框底部没有黑色条框底部没有黑色条框
实际结果
底部出现黑色条框底部出现黑色条框底部出现黑色条框底部出现黑色条框底部出现黑色条框"
